                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.80421,                 0.5007,                  1.089,                0.89629,                0.92916,                0.93309,                0.64037,                 1.0025,                0.49886,                 1.1364,             0.00027508,             0.00027508,             0.00027508
                     79,                 0.8216,                0.51789,                 1.1096,                0.88789,                0.91535,                0.91872,                0.62442,                 1.0145,                0.50497,                 1.1503,             0.00026408,             0.00026408,             0.00026408
                     80,                0.80886,                0.49635,                 1.1047,                0.87712,                0.91723,                0.92339,                0.63248,                0.99357,                0.50347,                 1.1295,             0.00025309,             0.00025309,             0.00025309
                     81,                0.80394,                0.49974,                 1.1027,                0.88685,                0.91102,                0.93652,                0.63043,                 1.0011,                0.49972,                 1.1387,             0.00024209,             0.00024209,             0.00024209
                     82,                0.78614,                 0.4955,                 1.0957,                0.88038,                0.91562,                0.91905,                0.63082,                 0.9973,                0.50015,                 1.1329,             0.00023109,             0.00023109,             0.00023109
                     83,                0.78939,                0.48759,                 1.0972,                0.89239,                0.92383,                0.92716,                0.63983,                0.98899,                0.49247,                 1.1214,             0.00022009,             0.00022009,             0.00022009
                     84,                0.78714,                0.49248,                  1.093,                0.88397,                0.90403,                0.91495,                0.63296,                0.99759,                0.50629,                 1.1393,             0.00020909,             0.00020909,             0.00020909
                     85,                0.79604,                0.48801,                 1.1004,                0.87409,                0.91337,                0.92585,                0.63251,                0.99864,                0.49667,                 1.1412,             0.00019809,             0.00019809,             0.00019809
                     86,                0.78473,                0.47885,                 1.0899,                0.90342,                0.91484,                0.93129,                0.63873,                0.99515,                0.48435,                 1.1284,             0.00018709,             0.00018709,             0.00018709
                     87,                0.77785,                0.48173,                 1.0854,                0.89057,                0.90459,                0.92449,                0.63262,                 0.9967,                0.49982,                 1.1263,             0.00017609,             0.00017609,             0.00017609
